1747658805530	geckodriver	INFO	Listening on 127.0.0.1:4444
1747658805550	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/addon/install
1747658805550	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/addon/uninstall
1747658805550	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/screenshot/full
1747658805613	webdriver::server	DEBUG	-> GET /status 
1747658805622	webdriver::server	DEBUG	<- 200 OK {"value":{"message":"","ready":true}}
1747658805803	webdriver::server	DEBUG	-> POST /session {"capabilities":{"firstMatch":[{}],"alwaysMatch":{"browserName":"firefox","moz:firefoxOptions":{"prefs":{"re ... ive-protocols":3},"binary":"/Users/strangebrick/.cache/selenium/firefox/mac64/138.0.4/Firefox.app/Contents/MacOS/firefox"}}}}
1747658805814	geckodriver::capabilities	DEBUG	Trying to read firefox version from ini files
1747658805864	geckodriver::capabilities	DEBUG	Found version 138.0.4
1747658805919	mozrunner::runner	INFO	Running command: MOZ_CRASHREPORTER="1" MOZ_CRASHREPORTER_NO_REPORT="1" MOZ_CRASHREPORTER_SHUTDOWN="1" "/Users/strangebrick/.c ... "--marionette" "-foreground" "-no-remote" "-profile" "/var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll"
1747658805930	geckodriver::marionette	DEBUG	Waiting 60s to connect to browser on 127.0.0.1
1747658805933	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658805935	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806042	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806042	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806143	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
